seqname	miRNA_ctr1.bed	miRNA_ctr2.bed	miRNA_ctr3.bed	miRNA_trt4.bed	miRNA_trt5.bed	miRNA_trt6.bed
ID=MIMAT0004631;Alias=MIMAT0004631;Name=mmu-miR-29a-5p;Derives_from=MI0000576	0	1	0	0	0	0
ID=MIMAT0004632;Alias=MIMAT0004632;Name=mmu-miR-29c-5p;Derives_from=MI0000577	1	4	1	0	3	2
ID=MIMAT0004633;Alias=MIMAT0004633;Name=mmu-miR-27a-5p;Derives_from=MI0000578	10	12	5	11	8	18
ID=MIMAT0004634;Alias=MIMAT0004634;Name=mmu-miR-31-3p;Derives_from=MI0000579	0	0	0	0	0	0
ID=MIMAT0004635;Alias=MIMAT0004635;Name=mmu-miR-92a-2-5p;Derives_from=MI0000580	0	0	0	0	0	0
ID=MIMAT0004636;Alias=MIMAT0004636;Name=mmu-miR-93-3p;Derives_from=MI0000581	0	2	1	0	0	3
ID=MIMAT0004638;Alias=MIMAT0004638;Name=mmu-miR-323-5p;Derives_from=MI0000592	0	0	0	0	0	0
ID=MIMAT0004640;Alias=MIMAT0004640;Name=mmu-miR-325-3p;Derives_from=MI0000597	0	0	0	0	0	0
ID=MIMAT0004642;Alias=MIMAT0004642;Name=mmu-miR-330-5p;Derives_from=MI0000607	1	4	1	2	6	0
ID=MIMAT0004643;Alias=MIMAT0004643;Name=mmu-miR-331-5p;Derives_from=MI0000609	0	0	0	0	0	0
ID=MIMAT0004644;Alias=MIMAT0004644;Name=mmu-miR-337-5p;Derives_from=MI0000615	1	1	1	0	0	1
ID=MIMAT0004647;Alias=MIMAT0004647;Name=mmu-miR-338-5p;Derives_from=MI0000619	0	1	0	0	0	0
ID=MIMAT0004649;Alias=MIMAT0004649;Name=mmu-miR-339-3p;Derives_from=MI0000621	0	2	3	0	2	0
ID=MIMAT0004651;Alias=MIMAT0004651;Name=mmu-miR-340-5p;Derives_from=MI0000623	664	467	214	380	534	422
ID=MIMAT0004653;Alias=MIMAT0004653;Name=mmu-miR-342-5p;Derives_from=MI0000627	4	8	0	8	5	6
ID=MIMAT0004656;Alias=MIMAT0004656;Name=mmu-miR-345-3p;Derives_from=MI0000632	8	16	3	3	12	22
ID=MIMAT0004659;Alias=MIMAT0004659;Name=mmu-miR-10a-3p;Derives_from=MI0000685	1	12	3	5	4	13
ID=MIMAT0004660;Alias=MIMAT0004660;Name=mmu-miR-19a-5p;Derives_from=MI0000688	1	0	2	0	0	0
ID=MIMAT0004661;Alias=MIMAT0004661;Name=mmu-miR-28a-3p;Derives_from=MI0000690	8	5	6	7	4	23
ID=MIMAT0004662;Alias=MIMAT0004662;Name=mmu-miR-139-3p;Derives_from=MI0000693	0	0	0	0	1	7
ID=MIMAT0004663;Alias=MIMAT0004663;Name=mmu-miR-200c-5p;Derives_from=MI0000694	0	1	0	0	0	0
ID=MIMAT0004664;Alias=MIMAT0004664;Name=mmu-miR-214-5p;Derives_from=MI0000698	0	4	1	0	1	0
ID=MIMAT0004665;Alias=MIMAT0004665;Name=mmu-miR-218-1-3p;Derives_from=MI0000700	0	3	0	0	1	3
ID=MIMAT0004666;Alias=MIMAT0004666;Name=mmu-miR-33-3p;Derives_from=MI0000707	4	1	2	1	2	2
ID=MIMAT0004667;Alias=MIMAT0004667;Name=mmu-miR-199b-3p;Derives_from=MI0000714	10	42	26	8	226	195
ID=MIMAT0004668;Alias=MIMAT0004668;Name=mmu-miR-138-1-3p;Derives_from=MI0000722	0	0	0	2	0	0
ID=MIMAT0004669;Alias=MIMAT0004669;Name=mmu-miR-125b-1-3p;Derives_from=MI0000725	12	10	10	9	22	16
ID=MIMAT0004670;Alias=MIMAT0004670;Name=mmu-miR-7a-1-3p;Derives_from=MI0000728	9	3	2	1	3	4
ID=MIMAT0004684;Alias=MIMAT0004684;Name=mmu-miR-362-3p;Derives_from=MI0000763	1	4	1	0	0	3
ID=MIMAT0004691;Alias=MIMAT0004691;Name=mmu-miR-382-3p;Derives_from=MI0000799	0	0	0	0	0	0
ID=MIMAT0004704;Alias=MIMAT0004704;Name=mmu-miR-335-3p;Derives_from=MI0000817	1	0	1	0	0	0
ID=MIMAT0004745;Alias=MIMAT0004745;Name=mmu-miR-384-5p;Derives_from=MI0001146	0	1	0	0	0	0
ID=MIMAT0004746;Alias=MIMAT0004746;Name=mmu-miR-409-5p;Derives_from=MI0001160	0	1	0	1	0	0
ID=MIMAT0004747;Alias=MIMAT0004747;Name=mmu-miR-411-5p;Derives_from=MI0001163	9	7	4	2	3	6
ID=MIMAT0004750;Alias=MIMAT0004750;Name=mmu-miR-425-5p;Derives_from=MI0001447	733	692	441	873	917	924
ID=MIMAT0004753;Alias=MIMAT0004753;Name=mmu-miR-431-3p;Derives_from=MI0001524	0	0	0	0	0	0
ID=MIMAT0004758;Alias=MIMAT0004758;Name=mmu-miR-463-3p;Derives_from=MI0002398	1	0	0	0	0	0
ID=MIMAT0004759;Alias=MIMAT0004759;Name=mmu-miR-466a-5p;Derives_from=MI0002401	0	0	0	0	0	0
ID=MIMAT0004760;Alias=MIMAT0004760;Name=mmu-miR-470-3p;Derives_from=MI0002405	0	0	0	0	1	0
ID=MIMAT0004781;Alias=MIMAT0004781;Name=mmu-miR-532-3p;Derives_from=MI0003206	3	1	7	6	2	1
ID=MIMAT0004782;Alias=MIMAT0004782;Name=mmu-miR-483-5p;Derives_from=MI0003484	0	0	0	0	0	0
ID=MIMAT0004786;Alias=MIMAT0004786;Name=mmu-miR-540-5p;Derives_from=MI0003518	0	0	0	0	1	4
ID=MIMAT0004788;Alias=MIMAT0004788;Name=mmu-miR-20b-3p;Derives_from=MI0003536	0	0	0	0	0	0
ID=MIMAT0004789;Alias=MIMAT0004789;Name=mmu-miR-450a-2-3p;Derives_from=MI0003537	0	0	0	0	0	0
ID=MIMAT0004790;Alias=MIMAT0004790;Name=mmu-miR-503-3p;Derives_from=MI0003538	0	0	0	0	0	0
ID=MIMAT0004820;Alias=MIMAT0004820;Name=mmu-miR-744-3p;Derives_from=MI0004124	0	1	0	1	0	4
ID=MIMAT0004821;Alias=MIMAT0004821;Name=mmu-miR-671-3p;Derives_from=MI0004133	13	20	18	16	31	37
ID=MIMAT0004822;Alias=MIMAT0004822;Name=mmu-miR-770-5p;Derives_from=MI0004203	0	0	0	0	0	0
ID=MIMAT0004823;Alias=MIMAT0004823;Name=mmu-miR-666-3p;Derives_from=MI0004553	1	0	0	0	1	0
ID=MIMAT0004824;Alias=MIMAT0004824;Name=mmu-miR-673-3p;Derives_from=MI0004601	0	1	0	0	0	0
ID=MIMAT0004825;Alias=MIMAT0004825;Name=mmu-miR-423-5p;Derives_from=MI0004637	355	323	133	294	310	624
ID=MIMAT0004826;Alias=MIMAT0004826;Name=mmu-miR-146b-3p;Derives_from=MI0004665	0	0	0	0	0	0
ID=MIMAT0004827;Alias=MIMAT0004827;Name=mmu-miR-297b-3p;Derives_from=MI0004674	4	0	0	0	0	0
ID=MIMAT0004828;Alias=MIMAT0004828;Name=mmu-miR-708-5p;Derives_from=MI0004692	0	0	0	0	0	0
ID=MIMAT0004837;Alias=MIMAT0004837;Name=mmu-miR-615-5p;Derives_from=MI0005004	5	2	1	6	0	2
ID=MIMAT0004838;Alias=MIMAT0004838;Name=mmu-miR-742-5p;Derives_from=MI0005206	1	1	2	2	9	1
ID=MIMAT0004839;Alias=MIMAT0004839;Name=mmu-miR-743b-5p;Derives_from=MI0005470	6	3	0	4	0	4
ID=MIMAT0004840;Alias=MIMAT0004840;Name=mmu-miR-743b-3p;Derives_from=MI0005470	1564	1318	692	1246	1722	1586
ID=MIMAT0004841;Alias=MIMAT0004841;Name=mmu-miR-871-5p;Derives_from=MI0005471	834	685	380	466	602	582
ID=MIMAT0004842;Alias=MIMAT0004842;Name=mmu-miR-879-5p;Derives_from=MI0005472	4	5	0	7	5	2
ID=MIMAT0004843;Alias=MIMAT0004843;Name=mmu-miR-879-3p;Derives_from=MI0005472	0	0	0	0	0	0
ID=MIMAT0004844;Alias=MIMAT0004844;Name=mmu-miR-880-3p;Derives_from=MI0005473	62	57	34	49	37	38
ID=MIMAT0004845;Alias=MIMAT0004845;Name=mmu-miR-881-5p;Derives_from=MI0005474	36	23	13	4	20	11
ID=MIMAT0004846;Alias=MIMAT0004846;Name=mmu-miR-881-3p;Derives_from=MI0005474	427	285	184	293	384	296
ID=MIMAT0004847;Alias=MIMAT0004847;Name=mmu-miR-882;Derives_from=MI0005475	0	0	0	0	0	0
ID=MIMAT0004848;Alias=MIMAT0004848;Name=mmu-miR-883a-5p;Derives_from=MI0005476	5	6	3	1	3	11
ID=MIMAT0004849;Alias=MIMAT0004849;Name=mmu-miR-883a-3p;Derives_from=MI0005476	93	81	41	42	59	63
ID=MIMAT0004850;Alias=MIMAT0004850;Name=mmu-miR-883b-5p;Derives_from=MI0005477	4	7	1	9	10	4
ID=MIMAT0004851;Alias=MIMAT0004851;Name=mmu-miR-883b-3p;Derives_from=MI0005477	16	19	11	13	8	16
ID=MIMAT0004852;Alias=MIMAT0004852;Name=mmu-miR-190b-5p;Derives_from=MI0005478	17	11	2	2	14	6
ID=MIMAT0004853;Alias=MIMAT0004853;Name=mmu-miR-874-3p;Derives_from=MI0005479	0	22	0	0	0	5
ID=MIMAT0004854;Alias=MIMAT0004854;Name=mmu-miR-876-5p;Derives_from=MI0005480	0	0	0	0	0	0
ID=MIMAT0004855;Alias=MIMAT0004855;Name=mmu-miR-876-3p;Derives_from=MI0005480	0	0	0	0	0	0
ID=MIMAT0004856;Alias=MIMAT0004856;Name=mmu-miR-105;Derives_from=MI0005481	0	0	0	0	0	0
ID=MIMAT0004857;Alias=MIMAT0004857;Name=mmu-miR-147-3p;Derives_from=MI0005482	1	3	0	1	1	6
ID=MIMAT0004858;Alias=MIMAT0004858;Name=mmu-miR-18b-5p;Derives_from=MI0005483	0	0	0	0	0	0
ID=MIMAT0004859;Alias=MIMAT0004859;Name=mmu-miR-193b-3p;Derives_from=MI0005484	2	2	1	0	1	5
ID=MIMAT0004861;Alias=MIMAT0004861;Name=mmu-miR-877-5p;Derives_from=MI0005553	0	1	0	0	0	0
ID=MIMAT0004862;Alias=MIMAT0004862;Name=mmu-miR-877-3p;Derives_from=MI0005553	0	0	0	1	0	6
ID=MIMAT0004864;Alias=MIMAT0004864;Name=mmu-miR-297a-3p;Derives_from=MI0005488	0	0	0	0	0	0
ID=MIMAT0004864_1;Alias=MIMAT0004864;Name=mmu-miR-297a-3p;Derives_from=MI0005489	0	2	0	0	0	0
ID=MIMAT0004865;Alias=MIMAT0004865;Name=mmu-miR-297c-5p;Derives_from=MI0005492	2	0	0	0	0	0
ID=MIMAT0004866;Alias=MIMAT0004866;Name=mmu-miR-297c-3p;Derives_from=MI0005492	1	2	0	0	0	0
ID=MIMAT0004867;Alias=MIMAT0004867;Name=mmu-miR-327;Derives_from=MI0005493	0	0	0	0	0	0
ID=MIMAT0004868;Alias=MIMAT0004868;Name=mmu-miR-343;Derives_from=MI0005494	0	0	0	0	0	0
ID=MIMAT0004869;Alias=MIMAT0004869;Name=mmu-miR-421-3p;Derives_from=MI0005496	5	0	2	6	1	0
ID=MIMAT0004870;Alias=MIMAT0004870;Name=mmu-miR-453;Derives_from=MI0005497	0	0	0	0	0	0
ID=MIMAT0004871;Alias=MIMAT0004871;Name=mmu-miR-465b-5p;Derives_from=MI0005498	53	154	61	13	242	39
ID=MIMAT0004871_1;Alias=MIMAT0004871;Name=mmu-miR-465b-5p;Derives_from=MI0005499	213	24	29	113	4	150
ID=MIMAT0004872;Alias=MIMAT0004872;Name=mmu-miR-465b-3p;Derives_from=MI0005498	465	402	5	5	9	7
ID=MIMAT0004872_1;Alias=MIMAT0004872;Name=mmu-miR-465b-3p;Derives_from=MI0005499	137	136	4	326	271	6
ID=MIMAT0004873;Alias=MIMAT0004873;Name=mmu-miR-465c-5p;Derives_from=MI0005500	29	23	6	55	184	2
ID=MIMAT0004873_1;Alias=MIMAT0004873;Name=mmu-miR-465c-5p;Derives_from=MI0005501	228	196	130	112	42	167
ID=MIMAT0004874;Alias=MIMAT0004874;Name=mmu-miR-465c-3p;Derives_from=MI0005500	27	6	1	0	70	0
ID=MIMAT0004874_1;Alias=MIMAT0004874;Name=mmu-miR-465c-3p;Derives_from=MI0005501	8	1	194	1	2	12
ID=MIMAT0004875;Alias=MIMAT0004875;Name=mmu-miR-466b-5p;Derives_from=MI0005502	0	0	0	0	0	0
ID=MIMAT0004875_1;Alias=MIMAT0004875;Name=mmu-miR-466b-5p;Derives_from=MI0014112	1	2	0	0	0	0
ID=MIMAT0004875_2;Alias=MIMAT0004875;Name=mmu-miR-466b-5p;Derives_from=MI0014060	1	0	0	0	0	2
ID=MIMAT0004875_3;Alias=MIMAT0004875;Name=mmu-miR-466b-5p;Derives_from=MI0014063	0	0	0	0	0	0
ID=MIMAT0004875_4;Alias=MIMAT0004875;Name=mmu-miR-466b-5p;Derives_from=MI0014067	0	0	0	0	0	0
ID=MIMAT0004875_5;Alias=MIMAT0004875;Name=mmu-miR-466b-5p;Derives_from=MI0014070	0	0	0	0	0	0
ID=MIMAT0004875_6;Alias=MIMAT0004875;Name=mmu-miR-466b-5p;Derives_from=MI0005503	1	0	0	0	0	0
ID=MIMAT0004875_7;Alias=MIMAT0004875;Name=mmu-miR-466b-5p;Derives_from=MI0005504	0	0	0	0	0	0
ID=MIMAT0004876;Alias=MIMAT0004876;Name=mmu-miR-466b-3p;Derives_from=MI0005502	5	0	1	0	0	0
ID=MIMAT0004876_1;Alias=MIMAT0004876;Name=mmu-miR-466b-3p;Derives_from=MI0014112	0	0	0	3	0	0
ID=MIMAT0004876_2;Alias=MIMAT0004876;Name=mmu-miR-466b-3p;Derives_from=MI0014060	0	0	0	0	0	0
ID=MIMAT0004876_3;Alias=MIMAT0004876;Name=mmu-miR-466b-3p;Derives_from=MI0014063	0	8	0	0	0	0
ID=MIMAT0004876_4;Alias=MIMAT0004876;Name=mmu-miR-466b-3p;Derives_from=MI0014067	0	0	0	0	1	0
ID=MIMAT0004876_5;Alias=MIMAT0004876;Name=mmu-miR-466b-3p;Derives_from=MI0014070	7	0	0	0	3	0
ID=MIMAT0004876_6;Alias=MIMAT0004876;Name=mmu-miR-466b-3p;Derives_from=MI0005503	0	0	0	2	3	0
ID=MIMAT0004876_7;Alias=MIMAT0004876;Name=mmu-miR-466b-3p;Derives_from=MI0005504	3	0	0	1	3	5
ID=MIMAT0004877;Alias=MIMAT0004877;Name=mmu-miR-466c-5p;Derives_from=MI0005505	0	0	2	4	1	0
ID=MIMAT0004877_1;Alias=MIMAT0004877;Name=mmu-miR-466c-5p;Derives_from=MI0014057	4	2	0	0	0	0
ID=MIMAT0004877_2;Alias=MIMAT0004877;Name=mmu-miR-466c-5p;Derives_from=MI0031753	3	1	3	0	0	0
ID=MIMAT0004878;Alias=MIMAT0004878;Name=mmu-miR-466c-3p;Derives_from=MI0005505	1	1	0	0	0	0
ID=MIMAT0004878_1;Alias=MIMAT0004878;Name=mmu-miR-466c-3p;Derives_from=MI0014057	0	0	0	2	1	9
ID=MIMAT0004878_2;Alias=MIMAT0004878;Name=mmu-miR-466c-3p;Derives_from=MI0031753	0	0	3	0	10	0
ID=MIMAT0004879;Alias=MIMAT0004879;Name=mmu-miR-466e-5p;Derives_from=MI0005506	0	0	1	0	0	0
ID=MIMAT0004880;Alias=MIMAT0004880;Name=mmu-miR-466e-3p;Derives_from=MI0005506	0	0	0	0	0	0
ID=MIMAT0004881;Alias=MIMAT0004881;Name=mmu-miR-466f-5p;Derives_from=MI0005507	0	0	0	0	0	0
ID=MIMAT0004881_1;Alias=MIMAT0004881;Name=mmu-miR-466f-5p;Derives_from=MI0005508	0	0	0	0	0	0
ID=MIMAT0004881_2;Alias=MIMAT0004881;Name=mmu-miR-466f-5p;Derives_from=MI0005509	0	0	0	0	0	0
ID=MIMAT0004882;Alias=MIMAT0004882;Name=mmu-miR-466f-3p;Derives_from=MI0005507	0	0	0	0	0	0
ID=MIMAT0004882_1;Alias=MIMAT0004882;Name=mmu-miR-466f-3p;Derives_from=MI0005508	0	0	0	0	0	0
ID=MIMAT0004882_2;Alias=MIMAT0004882;Name=mmu-miR-466f-3p;Derives_from=MI0005509	0	0	0	0	0	0
ID=MIMAT0004883;Alias=MIMAT0004883;Name=mmu-miR-466g;Derives_from=MI0005510	0	0	0	0	0	0
ID=MIMAT0004884;Alias=MIMAT0004884;Name=mmu-miR-466h-5p;Derives_from=MI0005511	0	0	0	0	0	0
ID=MIMAT0004885;Alias=MIMAT0004885;Name=mmu-miR-467c-5p;Derives_from=MI0005512	16	13	5	3	4	3
ID=MIMAT0004886;Alias=MIMAT0004886;Name=mmu-miR-467d-5p;Derives_from=MI0005513	17	20	4	4	13	18
ID=MIMAT0004887;Alias=MIMAT0004887;Name=mmu-miR-467d-3p;Derives_from=MI0005513	0	0	0	0	1	0
ID=MIMAT0004888;Alias=MIMAT0004888;Name=mmu-miR-493-3p;Derives_from=MI0005514	1	0	0	0	0	0
ID=MIMAT0004889;Alias=MIMAT0004889;Name=mmu-miR-504-5p;Derives_from=MI0005515	0	2	0	0	0	0
ID=MIMAT0004890;Alias=MIMAT0004890;Name=mmu-miR-509-5p;Derives_from=MI0005516	0	0	0	0	0	0
ID=MIMAT0004891;Alias=MIMAT0004891;Name=mmu-miR-509-3p;Derives_from=MI0005516	0	0	0	0	0	0
ID=MIMAT0004892;Alias=MIMAT0004892;Name=mmu-miR-568;Derives_from=MI0005517	0	0	0	0	0	0
ID=MIMAT0004893;Alias=MIMAT0004893;Name=mmu-miR-574-5p;Derives_from=MI0005518	0	0	0	0	0	0
ID=MIMAT0004894;Alias=MIMAT0004894;Name=mmu-miR-574-3p;Derives_from=MI0005518	0	4	1	0	0	2
ID=MIMAT0004897;Alias=MIMAT0004897;Name=mmu-miR-654-5p;Derives_from=MI0005520	0	0	0	0	0	0
ID=MIMAT0004898;Alias=MIMAT0004898;Name=mmu-miR-654-3p;Derives_from=MI0005520	0	0	0	0	0	0
ID=MIMAT0004899;Alias=MIMAT0004899;Name=mmu-miR-92b-3p;Derives_from=MI0005521	61	41	17	20	33	51
ID=MIMAT0004930;Alias=MIMAT0004930;Name=mmu-miR-466d-5p;Derives_from=MI0005546	1	0	0	0	0	12
ID=MIMAT0004931;Alias=MIMAT0004931;Name=mmu-miR-466d-3p;Derives_from=MI0005546	4	0	0	0	1	0
ID=MIMAT0004932;Alias=MIMAT0004932;Name=mmu-miR-878-5p;Derives_from=MI0005548	226	188	123	138	203	224
ID=MIMAT0004933;Alias=MIMAT0004933;Name=mmu-miR-878-3p;Derives_from=MI0005548	6	3	5	10	3	4
ID=MIMAT0004934;Alias=MIMAT0004934;Name=mmu-miR-872-5p;Derives_from=MI0005549	205	189	80	139	230	175
ID=MIMAT0004935;Alias=MIMAT0004935;Name=mmu-miR-872-3p;Derives_from=MI0005549	5	7	5	2	3	4
ID=MIMAT0004936;Alias=MIMAT0004936;Name=mmu-miR-873a-5p;Derives_from=MI0005550	0	0	0	0	0	0
ID=MIMAT0004937;Alias=MIMAT0004937;Name=mmu-miR-875-5p;Derives_from=MI0005551	0	0	0	0	0	0
ID=MIMAT0004938;Alias=MIMAT0004938;Name=mmu-miR-875-3p;Derives_from=MI0005551	0	0	0	0	0	0
ID=MIMAT0004939;Alias=MIMAT0004939;Name=mmu-miR-208b-3p;Derives_from=MI0005552	1	0	0	2	4	0
ID=MIMAT0004940;Alias=MIMAT0004940;Name=mmu-miR-511-5p;Derives_from=MI0005554	0	5	0	0	0	3
ID=MIMAT0004941;Alias=MIMAT0004941;Name=mmu-miR-544-3p;Derives_from=MI0005555	0	0	0	0	0	0
ID=MIMAT0004942;Alias=MIMAT0004942;Name=mmu-miR-598-3p;Derives_from=MI0005556	4	1	3	3	3	0
ID=MIMAT0004943;Alias=MIMAT0004943;Name=mmu-miR-653-5p;Derives_from=MI0005557	0	0	0	0	0	0
ID=MIMAT0005291;Alias=MIMAT0005291;Name=mmu-miR-582-5p;Derives_from=MI0006127	0	0	0	0	0	0
ID=MIMAT0005292;Alias=MIMAT0005292;Name=mmu-miR-582-3p;Derives_from=MI0006127	1	0	0	0	0	0
ID=MIMAT0005293;Alias=MIMAT0005293;Name=mmu-miR-467e-5p;Derives_from=MI0006128	11	12	7	1	10	10
ID=MIMAT0005294;Alias=MIMAT0005294;Name=mmu-miR-467e-3p;Derives_from=MI0006128	0	0	0	0	0	0
ID=MIMAT0005295;Alias=MIMAT0005295;Name=mmu-miR-376c-5p;Derives_from=MI0003533	0	0	0	0	0	0
ID=MIMAT0005438;Alias=MIMAT0005438;Name=mmu-miR-30c-2-3p;Derives_from=MI0000548	32	24	7	5	15	35
ID=MIMAT0005439;Alias=MIMAT0005439;Name=mmu-let-7c-2-3p;Derives_from=MI0000560	4	5	0	0	0	1
ID=MIMAT0005440;Alias=MIMAT0005440;Name=mmu-miR-24-2-5p;Derives_from=MI0000572	13	18	4	3	4	12
ID=MIMAT0005443;Alias=MIMAT0005443;Name=mmu-miR-181a-2-3p;Derives_from=MI0000223	2	1	4	1	7	3
ID=MIMAT0005444;Alias=MIMAT0005444;Name=mmu-miR-218-2-3p;Derives_from=MI0000701	0	1	0	0	0	0
ID=MIMAT0005447;Alias=MIMAT0005447;Name=mmu-miR-449b;Derives_from=MI0005547	0	0	0	0	0	0
ID=MIMAT0005448;Alias=MIMAT0005448;Name=mmu-miR-467b-5p;Derives_from=MI0004671	3	0	0	0	0	0
ID=MIMAT0005460;Alias=MIMAT0005460;Name=mmu-miR-1224-5p;Derives_from=MI0004118	0	0	0	0	0	0
ID=MIMAT0005830;Alias=MIMAT0005830;Name=mmu-miR-466l-3p;Derives_from=MI0006278	0	0	0	0	0	0
ID=MIMAT0005831;Alias=MIMAT0005831;Name=mmu-miR-669k-3p;Derives_from=MI0006279	0	0	0	0	0	0
ID=MIMAT0005832;Alias=MIMAT0005832;Name=mmu-miR-669g;Derives_from=MI0006280	0	0	0	0	0	0
ID=MIMAT0005833;Alias=MIMAT0005833;Name=mmu-miR-669d-5p;Derives_from=MI0006281	2	0	0	0	0	0
ID=MIMAT0005833_1;Alias=MIMAT0005833;Name=mmu-miR-669d-5p;Derives_from=MI0014051	1	1	1	0	1	0
ID=MIMAT0005834;Alias=MIMAT0005834;Name=mmu-miR-466i-3p;Derives_from=MI0006282	0	0	0	0	0	0
ID=MIMAT0005835;Alias=MIMAT0005835;Name=mmu-miR-1b-5p;Derives_from=MI0006283	0	0	0	0	0	0
ID=MIMAT0005837;Alias=MIMAT0005837;Name=mmu-miR-1187;Derives_from=MI0006285	0	0	0	0	0	0
ID=MIMAT0005838;Alias=MIMAT0005838;Name=mmu-miR-669j;Derives_from=MI0006286	0	0	0	0	0	0
ID=MIMAT0005839;Alias=MIMAT0005839;Name=mmu-miR-669f-3p;Derives_from=MI0006287	1	0	0	0	0	0
ID=MIMAT0005840;Alias=MIMAT0005840;Name=mmu-miR-669i;Derives_from=MI0006288	0	0	0	0	0	0
ID=MIMAT0005841;Alias=MIMAT0005841;Name=mmu-miR-669h-5p;Derives_from=MI0006289	0	0	0	0	0	0
ID=MIMAT0005842;Alias=MIMAT0005842;Name=mmu-miR-669h-3p;Derives_from=MI0006289	0	0	0	0	0	0
ID=MIMAT0005843;Alias=MIMAT0005843;Name=mmu-miR-1188-5p;Derives_from=MI0006290	0	0	0	0	0	0
ID=MIMAT0005844;Alias=MIMAT0005844;Name=mmu-miR-466f;Derives_from=MI0006291	0	0	0	0	0	0
ID=MIMAT0005845;Alias=MIMAT0005845;Name=mmu-miR-466k;Derives_from=MI0006292	0	0	0	0	0	0
ID=MIMAT0005846;Alias=MIMAT0005846;Name=mmu-miR-467f;Derives_from=MI0006293	0	0	0	0	0	0
ID=MIMAT0005847;Alias=MIMAT0005847;Name=mmu-miR-1190;Derives_from=MI0006294	0	0	0	0	0	0
ID=MIMAT0005848;Alias=MIMAT0005848;Name=mmu-miR-466j;Derives_from=MI0006295	0	0	0	0	0	0
ID=MIMAT0005849;Alias=MIMAT0005849;Name=mmu-miR-1191a;Derives_from=MI0006296	0	0	0	0	1	0
ID=MIMAT0005850;Alias=MIMAT0005850;Name=mmu-miR-1192;Derives_from=MI0006297	0	0	0	0	0	0
ID=MIMAT0005851;Alias=MIMAT0005851;Name=mmu-miR-1193-3p;Derives_from=MI0006298	0	0	0	0	0	1
ID=MIMAT0005853;Alias=MIMAT0005853;Name=mmu-miR-669e-5p;Derives_from=MI0006300	0	0	0	0	2	0
ID=MIMAT0005854;Alias=MIMAT0005854;Name=mmu-miR-467g;Derives_from=MI0006301	0	0	0	0	0	0
ID=MIMAT0005855;Alias=MIMAT0005855;Name=mmu-miR-467h;Derives_from=MI0006302	0	0	0	0	0	0
ID=MIMAT0005856;Alias=MIMAT0005856;Name=mmu-miR-1195;Derives_from=MI0006303	0	0	0	0	0	0
ID=MIMAT0005858;Alias=MIMAT0005858;Name=mmu-miR-1197-3p;Derives_from=MI0006305	0	0	0	0	0	0
ID=MIMAT0005859;Alias=MIMAT0005859;Name=mmu-miR-1198-5p;Derives_from=MI0006306	4	4	0	0	2	0
ID=MIMAT0005860;Alias=MIMAT0005860;Name=mmu-miR-1199-5p;Derives_from=MI0006307	0	0	1	1	0	0
ID=MIMAT0007863;Alias=MIMAT0007863;Name=mmu-miR-1902;Derives_from=MI0008313	0	0	0	0	0	0
ID=MIMAT0007864;Alias=MIMAT0007864;Name=mmu-miR-1897-5p;Derives_from=MI0008314	0	0	0	0	0	0
ID=MIMAT0007865;Alias=MIMAT0007865;Name=mmu-miR-1897-3p;Derives_from=MI0008314	0	0	0	0	0	0
ID=MIMAT0007866;Alias=MIMAT0007866;Name=mmu-miR-1905;Derives_from=MI0008315	0	0	0	0	0	0
ID=MIMAT0007867;Alias=MIMAT0007867;Name=mmu-miR-1895;Derives_from=MI0008316	0	0	0	0	0	0
ID=MIMAT0007868;Alias=MIMAT0007868;Name=mmu-miR-1903;Derives_from=MI0008317	0	2	0	0	0	0
ID=MIMAT0007869;Alias=MIMAT0007869;Name=mmu-miR-1899;Derives_from=MI0008318	0	64	0	0	0	0
ID=MIMAT0007870;Alias=MIMAT0007870;Name=mmu-miR-1900;Derives_from=MI0008319	0	0	1	0	1	0
ID=MIMAT0007871;Alias=MIMAT0007871;Name=mmu-miR-1892;Derives_from=MI0008320	0	0	1	0	0	0
ID=MIMAT0007872;Alias=MIMAT0007872;Name=mmu-miR-1906;Derives_from=MI0008321	0	1	1	0	0	0
ID=MIMAT0007872_1;Alias=MIMAT0007872;Name=mmu-miR-1906;Derives_from=MI0015984	0	0	0	0	0	0
ID=MIMAT0007873;Alias=MIMAT0007873;Name=mmu-miR-1896;Derives_from=MI0008322	0	0	0	0	0	0
ID=MIMAT0007874;Alias=MIMAT0007874;Name=mmu-miR-1904;Derives_from=MI0008323	0	0	0	0	0	0
ID=MIMAT0007875;Alias=MIMAT0007875;Name=mmu-miR-1898;Derives_from=MI0008324	0	0	0	0	0	0
ID=MIMAT0007876;Alias=MIMAT0007876;Name=mmu-miR-1907;Derives_from=MI0008325	0	0	0	0	1	0
ID=MIMAT0007877;Alias=MIMAT0007877;Name=mmu-miR-1894-5p;Derives_from=MI0008326	0	0	0	0	0	0
ID=MIMAT0007878;Alias=MIMAT0007878;Name=mmu-miR-1894-3p;Derives_from=MI0008326	0	0	0	0	1	0
ID=MIMAT0007879;Alias=MIMAT0007879;Name=mmu-miR-1893;Derives_from=MI0008327	1	1	0	0	0	0
ID=MIMAT0007880;Alias=MIMAT0007880;Name=mmu-miR-1901;Derives_from=MI0008328	0	2	0	0	2	0
